Symbol,Company Name,Sector,Industry/Subsector
EGX:EGX30,EGX30 Index,Other,Index
EGX:AALR,General Company for Land Reclamation & Reconstruction,Finance,Real Estate Development
EGX:ABUK,Abu Qir Fertilizers and Chemical Industries,Basic Resources,Chemicals / Fertilizers
EGX:ACAMD,Arab Co. for Asset Management And Development,Real Estate,Asset Management
EGX:ACAP,A Capital Holding,Real Estate,Real Estate Development
EGX:ACGC,Arab Cotton Ginning,Textile & Durables,Textiles
EGX:ACTF,Act Financial,Non-bank Financial,Financial Services
EGX:ADCI,Arab Dairy (Panda),Food & Beverages,Dairy Products
EGX:ADPC,Arab Deserts Development & Investment,Real Estate,Land Development
EGX:AFDI,Arabia for Investment and Development,Non-bank Financial,Investments
EGX:AIDC,Arab Investment & Development,Non-bank Financial,Financial Services
EGX:AIFI,Arab Investment & Food Industries,Food & Beverages,Diversified Food
EGX:AIHC,Arabia Investments Holding,Non-bank Financial,Diversified Financials
EGX:AJWA,AJWA for Food Industries,Food & Beverages,Food Processing
EGX:ALCN,Alexandria Container & Cargo Handling,Shipping & Transport,Logistics/Port Services
EGX:ALUM,Arab Aluminum,Basic Resources,Aluminum Products
EGX:AMER,Amer Group Holding,Real Estate,Real Estate Development
EGX:AMES,Arab Medical Equipment (AMES),Health Care,Medical Equipment
EGX:AMIA,Arab Moltaqa Investment,Non-bank Financial,Financial Services
EGX:AMOC,Alexandria Mineral Oils Company,Energy & Support,Oil & Gas
EGX:ANFI,Alexandria National Co. for Financial Investment,Non-bank Financial,Asset Management
EGX:ARAB,Arab Developers Holding,Real Estate,Real Estate Development
EGX:ARCC,Arabian Cement Company,Building Materials,Cement Production
EGX:AREH,Arab Real Estate Investment (ALICO),Real Estate,Real Estate Investment
EGX:ARVA,Arab Valves Company,Building Materials,Valve Manufacturing
EGX:ASCM,ASEC Company for Mining,Basic Resources,Mining & Quarries
EGX:ASPI,Aspire Capital Holding,Non-bank Financial,Financial Services
EGX:ATLC,Al Tawfeek Leasing (A.T.LEASE),Non-bank Financial,Leasing
EGX:ATQA,Misr National Steel (Ataqa),Basic Resources,Steel Products
EGX:AXPH,Alexandria Pharmaceuticals,Health Care,Pharmaceuticals
EGX:BINV,B Investments Holding,Non-bank Financial,Private Equity
EGX:BIOC,Biopharm for Pharmaceutical & Chemicals,Health Care,Pharmaceuticals
EGX:BONY,Bonyan for Development and Trade,Real Estate,Real Estate Development
EGX:BTFH,Beltone Holding,Non-bank Financial,Financial Services
EGX:CAED,Cairo Educational Services,Education Services,Education
EGX:CCAP,Qalaa Holdings,Non-bank Financial,Diversified Industrials
EGX:CCRS,Gulf Canadian Real Estate,Real Estate,Real Estate Developmen
EGX:CEFM,Cairo Flour Mills,Food & Beverages,Milling
EGX:CERA,Ceramica Remas,Building Materials,Ceramics
EGX:CICH,CI Capital Holding,Non-bank Financial,Investment Banking
EGX:CIRA,CIRA Education,Education Services,Education
EGX:CLHO,Cleopatra Hospital,Health Care,Specialized Hospitals
EGX:CNFN,Contact Financial Holding,Non-bank Financial,Consumer Finance
EGX:COPR,Copper & Spelter for Egypt,Basic Resources,Non-ferrous Metals
EGX:COSG,Cairo Oils & Soap,Food & Beverages,Edible Oils
EGX:CPCI,Cairo Pharmaceuticals,Health Care,Pharmaceuticals
EGX:CRST,Crest Mark for Contracting and Real Estate Development,Real Estate,Real Estate Development
EGX:CSAG,Canal Shipping Agencies,Shipping & Transport,Shipping Agencies
EGX:DAPH,Development & Engineering Consultants,Real Estate,Real Estate Services
EGX:DEIN,Delta Insurance,Non-bank Financial,Insurance
EGX:DOMT,Arabian Food Industries (Domty),Food & Beverages,Dairy/Food
EGX:DSCW,Dice Sport & Casual Wear,Textile & Durables,Apparel
EGX:DTPP,Delta Construction & Rebuilding,Real Estate,Construction
EGX:EALR,Egyptian Company for Land Reclamation,Finance,Land Development
EGX:EBSC,Ostool Brokerage,Non-bank Financial,Business Services
EGX:ECAP,Al Ezz Ceramics & Porcelain (Gemma),Building Materials,Ceramics
EGX:EDFM,East Delta Flour Mills,Food & Beverages,Milling
EGX:EEII,El Arabia Engineering,Industrial Goods,Electrical Equipment
EGX:EFIC,Egyptian Financial & Industrial,Basic Resources,Fertilizers
EGX:EFID,Edita Food Industries,Food & Beverages,Packaged Foods
EGX:EFIH,e-finance for Digital & Financial Investments,IT & Communication,FinTech
EGX:EGAL,Egypt Aluminum,Basic Resources,Aluminum
EGX:EGAS,Egypt Gas,Energy & Support,Natural Gas Distribution
EGX:EGCH,Egyptian Chemical Industries (Kima),Basic Resources,Chemicals
EGX:EGTS,Egyptian Resorts Company,Travel & Leisure,Tourism Development
EGX:EHDR,Egyptians Housing & Development,Real Estate,Real Estate Development
EGX:ELEC,Electro Cable Egypt,Industrial Goods,Electrical Equipment
EGX:ELKA,El Kahera Housing,Real Estate,Real Estate Development
EGX:ELSH,El Shams Housing & Development,Real Estate,Real Estate Development
EGX:EMFD,Emaar Misr for Development,Real Estate,Real Estate Development
EGX:ENGC,Engineering Industries (ICON),Building Materials,Steel Structures
EGX:EPCO,Egypt Poultry,Food & Beverages,Poultry
EGX:ETEL,Telecom Egypt,IT & Communication,Telecommunications
EGX:ETRS,Egyptian Transport (EGYTRANS),Shipping & Transport,Logistics
EGX:GBCO,GB Corp (formerly GB Auto),Industrial Goods,Automotive
EGX:GDWA,Gadwa For Industrial Development,Non-bank Financial,Industrial Investment
EGX:GGCC,Giza General Contracting,Real Estate,Construction
EGX:GIHD,Gharbia Islamic Housing Development,Real Estate,Real Estate Development
EGX:GPIM,GPI for Urban Growth,Real Estate,Real Estate Development
EGX:GRCA,Grand Investment Capital,Non-bank Financial,Business Services
EGX:GTWL,Giza Spinning & Weaving,Textile & Durables,Textiles
EGX:HBCO,Hebico NVP,Non-bank Financial,Financial Services
EGX:HELI,Heliopolis Housing,Real Estate,Real Estate Development
EGX:ICFC,International Co. for Fertilizer & Chemicals,Basic Resources,Fertilizers
EGX:ICID,International Company for Investment,Non-bank Financial,Real Estate Development
EGX:IDRE,Ismailia Development and Real Estate,Real Estate,Real Estate Development
EGX:IEEC,International Export Center,Trade & Distributors,Trading
EGX:IFAP,International Food & Agricultural,Food & Beverages,Agriculture
EGX:INEG,Industrial Engineering Projects,Industrial Goods,Engineering
EGX:INFI,Ismailia National Food Industries,Food & Beverages,Food Processing
EGX:ISMA,Ismailia Misr Poultry,Food & Beverages,Poultry
EGX:ISMQ,Iron and Steel for Mines and Quarries,Basic Resources,Iron & Steel
EGX:ISPH,Ibnsina Pharma,Health Care,Pharmaceutical Distribution
EGX:JUFO,Juhayna Food Industries,Food & Beverages,Dairy & Juice
EGX:KABO,El Nasr Clothes & Textiles (Kabo),Textile & Durables,Textiles
EGX:KRDI,Al Khair River for Development,Food & Beverages,Agriculture
EGX:KZPC,Kafr El Zayat Pesticides,Basic Resources,Chemicals/Pesticides
EGX:LCSW,Lecico Egypt,Building Materials,Sanitaryware
EGX:LUTS,Lotus for Agricultural Investment,Food & Beverages,Agriculture
EGX:MAAL,Marselia,Real Estate,Real Estate Development
EGX:MASR,Madinet Masr (formerly MNHD),Real Estate,Real Estate Development
EGX:MBSC,Misr Banisuif,Building Materials,Cement
EGX:MCQE,Misr Cement (Qena),Building Materials,Cement
EGX:MCRO,Macro Group Pharmaceuticals,Health Care,Cosmetics/Pharma
EGX:MENA,MENA For Real Estate Investment,Real Estate,Real Estate Development
EGX:MEPA,Medical Packaging,Paper & Packaging,Medical Packaging
EGX:MFPC,Misr Fertilizers (MOPCO),Basic Resources,Fertilizers
EGX:MICH,Misr Chemical Industries,Basic Resources,Chemicals
EGX:MILS,Middle Egypt Flour Mills,Food & Beverages,Milling
EGX:MIPH,Misr Pharmaceuticals,Health Care,Pharmaceuticals
EGX:MOED,Modern Education Services,Education Services,Education
EGX:MOSC,Misr Oils & Soap,Food & Beverages,Edible Oils
EGX:MPCI,Memphis Pharmaceutical,Health Care,Pharmaceuticals
EGX:MPCO,Mansourah Poultry,Food & Beverages,Poultry
EGX:MTIE,MM Group for Industry & International Trade,Trade & Distributors,Consumer Electronics
EGX:NARE,National Real Estate Bank,Banks,Specialized Banking
EGX:NCCW,Nasr Company for Civil Works,Real Estate,Civil Engineering
EGX:NHPS,Nile Housing & Development,Real Estate,Real Estate Development
EGX:NIPH,Nile Pharmaceuticals,Health Care,Pharmaceuticals
EGX:OBRO,Obour Land for Food Industries,Food & Beverages,Dairy
EGX:OCDI,Six of October Development (SODIC),Real Estate,Real Estate Development
EGX:OCPH,October Pharma,Health Care,Pharmaceuticals
EGX:ODIN,ODIN Investments,Non-bank Financial,Asset Management
EGX:OFH,Orascom Financial Holding,Non-bank Financial,Financial Services
EGX:OIH,Orascom Investment Holding,Non-bank Financial,Diversified Investment
EGX:OLFI,Obour Land Food Industries,Food & Beverages,Dairy & Juice
