Ticker,In_Trade,Last_Close,Gain_Loss_Today_%,Last_Volume,Avg_Volume_20,Rel_Volume,HMA_above_EMA,MA_Reclaim_Candle,Accumulation,Entry_Price,Entry_Date,Unrealized_PnL_%,Days_In_Trade,Support,Resistance,Dist_To_Support_%,Dist_To_Resistance_%,Last_Exit_High,Dist_To_Last_Exit_High_%,RSI_Divergence,Market_Structure,ATR_Volatility_%,Report_Date,Score
WCDF,True,485.0,-2.99,840,888,0.95,True,False,True,485.0,2026-01-19 10:00:00,0.0,9.0,469.05,498.47,3.4,2.78,484.0,0.21,True,True,6.31,20260128,11.0
MTIE,True,7.27,-1.09,1814388,2927677,0.62,True,False,True,6.48,2025-09-23 10:00:00,12.19,127.0,6.96,7.4,4.42,1.78,6.87,5.79,False,True,5.38,20260128,9.0
SIPC,True,3.59,-0.28,7029044,17792413,0.4,True,False,False,3.95,2026-01-21 10:00:00,-9.11,7.0,2.77,4.39,29.6,22.19,3.82,-6.02,True,True,12.6,20260128,9.0
UEFM,True,476.41,2.14,3461,1350,2.56,False,False,False,470.5,2026-01-27 10:00:00,1.26,1.0,463.97,549.33,2.68,15.31,539.99,-11.77,False,True,7.87,20260128,8.0
EIUD,True,0.69,2.08,69079212,32769712,2.11,True,False,False,0.67,2026-01-27 10:00:00,2.08,1.0,,0.7,,1.31,0.66,4.09,False,True,8.1,20260128,8.0
SCEM,True,61.6,-4.54,377931,476140,0.79,True,False,False,64.56,2026-01-21 10:00:00,-4.58,7.0,59.35,72.92,3.8,18.38,67.66,-8.96,False,True,8.95,20260128,8.0
BIOC,True,62.3,0.06,126332,50838,2.48,False,False,False,61.0,2026-01-27 10:00:00,2.13,1.0,60.57,66.56,2.86,6.84,62.34,-0.06,False,True,7.06,20260128,7.0
AFMC,True,61.53,-0.03,112358,73694,1.52,False,False,False,65.5,2025-12-24 10:00:00,-6.06,35.0,57.42,68.79,7.15,11.79,68.39,-10.03,False,True,7.9,20260128,7.0
MCRO,True,1.38,-6.76,46789694,31573969,1.48,True,False,False,1.29,2026-01-21 10:00:00,6.98,7.0,1.02,1.68,35.29,21.74,1.19,15.97,False,True,15.36,20260128,7.0
CPCI,True,251.0,-1.01,11136,8584,1.3,False,False,True,225.01,2025-10-05 10:00:00,11.55,115.0,245.0,287.33,2.45,14.47,224.83,11.64,False,False,4.67,20260128,7.0
ATLC,True,3.96,0.25,1546852,1333484,1.16,False,False,False,4.3,2025-10-05 10:00:00,-7.91,115.0,3.75,4.5,5.6,13.75,4.47,-11.41,True,True,4.47,20260128,7.0
NCCW,False,5.01,-2.53,3643864,1461147,2.49,False,False,False,,,,,4.94,6.46,1.35,28.94,6.0,-16.5,True,False,8.78,20260128,6.0
EDFM,False,304.01,-0.93,2328,1873,1.24,True,False,True,,,,,291.81,340.67,4.18,12.06,309.9,-1.9,False,False,5.74,20260128,6.0
POUL,True,26.1,-1.06,741937,659395,1.13,True,False,False,26.04,2026-01-26 10:00:00,0.23,2.0,24.44,26.48,6.77,1.46,26.4,-1.14,False,True,6.4,20260128,6.0
MOED,True,0.98,2.63,13527618,13568650,1.0,True,False,False,0.91,2026-01-20 10:00:00,7.38,8.0,0.8,0.99,21.67,1.12,0.88,10.92,False,True,7.65,20260128,6.0
AMOC,False,7.07,-0.7,4140893,4407043,0.94,True,False,True,,,,,6.79,7.66,4.09,8.36,7.24,-2.35,False,True,3.85,20260128,6.0
INFI,True,128.53,-3.21,51843,75056,0.69,True,False,False,135.0,2026-01-25 10:00:00,-4.79,3.0,100.89,139.83,27.39,8.79,121.86,5.47,False,True,8.92,20260128,6.0
JUFO,True,27.75,-1.67,668660,1853691,0.36,True,False,False,28.65,2026-01-25 10:00:00,-3.14,3.0,20.38,29.98,36.18,8.04,27.29,1.69,False,True,7.27,20260128,6.0
MBSC,True,266.13,-0.05,7261,288043,0.03,True,False,False,262.21,2026-01-18 10:00:00,1.49,10.0,242.0,275.25,9.97,3.43,276.0,-3.58,False,True,8.28,20260128,6.0
AMES,False,50.36,-0.08,71344,34178,2.09,False,False,False,,,,,48.2,59.15,4.48,17.46,59.24,-14.99,False,True,10.03,20260128,5.0
IFAP,True,18.3,-0.49,386267,289822,1.33,False,False,False,18.61,2026-01-21 10:00:00,-1.67,7.0,18.1,19.06,1.08,4.13,19.12,-4.29,False,True,4.46,20260128,5.0
ZEOT,True,7.71,-4.22,4433843,3464851,1.28,False,False,False,8.05,2026-01-27 10:00:00,-4.22,1.0,5.07,10.32,52.16,33.85,9.38,-17.8,False,True,12.89,20260128,5.0
PRCL,True,15.0,-2.98,715175,606575,1.18,False,False,False,15.46,2026-01-27 10:00:00,-2.98,1.0,13.94,15.72,7.62,4.81,15.74,-4.7,True,False,7.71,20260128,5.0
TANM,True,4.63,-0.43,1995782,2067968,0.97,False,False,False,4.65,2026-01-27 10:00:00,-0.43,1.0,4.45,4.85,4.13,4.7,4.91,-5.7,False,True,10.32,20260128,5.0
AIFI,False,1.99,-3.86,9718534,20122756,0.48,True,False,False,,,,,1.96,2.46,1.53,23.62,2.27,-12.33,False,True,11.82,20260128,5.0
ATQA,False,8.95,-5.59,10031483,3833594,2.62,False,False,False,,,,,8.9,11.2,0.56,25.14,9.97,-10.23,False,False,6.78,20260128,4.0
OBRI,False,31.3,-10.44,663362,400415,1.66,False,False,False,,,,,31.21,35.5,0.29,13.42,42.97,-27.16,False,False,15.97,20260128,4.0
MICH,True,28.08,-1.13,196663,135334,1.45,False,False,False,28.38,2026-01-22 10:00:00,-1.06,6.0,25.0,30.46,12.32,8.46,30.59,-8.21,False,True,5.4,20260128,4.0
EGAL,False,236.0,-3.67,416558,353267,1.18,True,False,False,,,,,157.86,276.0,49.5,16.95,261.99,-9.92,False,True,8.84,20260128,4.0
IDRE,False,35.76,0.93,257475,217939,1.18,False,False,False,,,,,33.02,42.56,8.3,19.01,39.3,-9.01,True,True,7.8,20260128,4.0
SMFR,False,176.99,-0.57,2259,3145,0.72,False,False,False,,,,,167.53,209.23,5.64,18.22,190.08,-6.89,True,True,6.02,20260128,4.0
MCQE,False,167.35,-2.13,68539,135138,0.51,True,False,False,,,,,125.65,185.7,33.19,10.97,174.0,-3.82,False,True,8.89,20260128,4.0
CLHO,False,11.93,-1.32,898008,470981,1.91,False,False,False,,,,,11.62,12.45,2.69,4.38,12.63,-5.54,False,False,8.15,20260128,3.0
AXPH,False,776.31,-1.38,1801,1364,1.32,False,False,True,,,,,775.3,850.76,0.13,9.59,793.98,-2.23,False,False,3.59,20260128,3.0
RUBX,False,8.97,-1.75,244364,194788,1.25,False,False,False,,,,,8.55,10.34,4.91,15.32,9.5,-5.58,False,True,8.55,20260128,3.0
ARCC,False,46.4,-1.65,411024,396737,1.04,False,False,False,,,,,44.65,54.54,3.91,17.54,49.0,-5.31,False,True,6.0,20260128,3.0
IEEC,False,0.47,-2.71,34945804,38260757,0.91,True,False,False,,,,,0.32,0.5,45.21,6.68,0.49,-4.9,False,True,6.97,20260128,3.0
EFID,False,28.85,-0.79,944447,1122734,0.84,True,False,False,,,,,24.3,29.25,18.72,1.39,29.45,-2.04,False,True,5.71,20260128,3.0
ACAMD,False,1.96,0.51,72615130,90857695,0.8,True,False,False,,,,,,2.02,,3.06,1.94,1.03,False,True,10.34,20260128,3.0
MILS,False,112.19,-2.49,39987,51468,0.78,False,False,False,,,,,111.5,131.31,0.62,17.04,131.49,-14.68,False,True,11.71,20260128,3.0
ARVA,False,7.73,-2.28,229065,427028,0.54,True,False,False,,,,,7.53,8.15,2.61,5.38,8.4,-7.98,False,False,7.72,20260128,3.0
ICFC,False,15.19,-1.81,828887,1529988,0.54,True,False,False,,,,,14.23,15.72,6.78,3.46,15.91,-4.53,False,True,6.6,20260128,3.0
AJWA,False,116.9,-0.81,11960,24800,0.48,False,False,False,,,,,116.74,132.5,0.14,13.34,126.44,-7.55,False,True,5.64,20260128,3.0
KABO,False,6.54,-2.39,745755,2474521,0.3,True,False,False,,,,,5.76,6.65,13.57,1.64,6.9,-5.22,False,True,9.07,20260128,3.0
EGAS,False,41.78,-1.11,183718,153010,1.2,False,False,False,,,,,40.5,45.18,3.16,8.13,43.99,-5.02,False,True,6.01,20260128,2.0
MOSC,False,149.65,-5.52,9185,8464,1.09,False,False,False,,,,,148.0,198.98,1.11,32.96,182.85,-18.16,False,False,8.51,20260128,2.0
COPR,False,0.3,-3.55,18481709,26966571,0.69,False,False,False,,,,,0.3,0.39,0.28,31.89,0.36,-16.48,False,False,8.41,20260128,2.0
