Symbol,Company Name,Sector,Industry/Subsector
EGX:EGX30,EGX30 Index,Other,Index
EGX:AALR,Arab Aluminum Co.,Basic Materials,Aluminum
EGX:ABUK,Abu Qir Fertilizers,Basic Materials,Fertilizers
EGX:ACAMD,Arab Co. for Asset Management,Financials,Asset Management
EGX:ACAP,Cairo for Investment & Real Estate,Real Estate,Real Estate Development
EGX:ACGC,Arab Cotton Ginning,Industrials,Textiles
EGX:ACTF,Arab Co. for Trade & Finance,Financials,Financial Services
EGX:ADCI,Arab Developers Holding,Real Estate,Real Estate Development
EGX:ADPC,Arab Dairy Products,Consumer Non-Cyclicals,Food Products
EGX:AFDI,Arab Finance & Investment,Financials,Financial Services
EGX:AIDC,Arab International Co.,Industrials,Industrial Services
EGX:AIFI,Arab Investment Fund,Financials,Investment
EGX:AIHC,Arab International Hotels,Consumer Services,Hotels
EGX:AJWA,Ajwa for Food Industries,Consumer Non-Cyclicals,Food Products
EGX:ALCN,Alexandria Containers,Industrials,Transportation & Logistics
EGX:ALUM,Egypt Aluminum,Basic Materials,Aluminum
EGX:AMER,Amer Group Holding,Real Estate,Real Estate Development
EGX:AMES,Arab Medical Equipment,Healthcare,Medical Equipment
EGX:AMIA,Arab Moltaqa Investments,Financials,Investment
EGX:AMOC,Alexandria Mineral Oils,Energy,Oil & Gas Refining
EGX:ANFI,Al Ahli Investment,Financials,Investment
EGX:ARAB,Arab Polvara Spinning,Industrials,Textiles
EGX:ARCC,Arabian Cement,Basic Materials,Cement
EGX:AREH,Arab Real Estate Investment,Real Estate,Real Estate Development
EGX:ARVA,Arab Valves Co.,Industrials,Industrial Equipment
EGX:ASCM,Ascom Mining,Basic Materials,Mining
EGX:ASPI,Arab Steel Pipes,Basic Materials,Steel
EGX:ATLC,Al Tawfeek Leasing,Financials,Leasing
EGX:ATQA,Arabian Food Industries,Consumer Non-Cyclicals,Food Products
EGX:AXPH,Alex Pharma,Healthcare,Pharmaceuticals
EGX:BINV,B Investments Holding,Financials,Investment
EGX:BIOC,Bio Pharmaceutical Industries,Healthcare,Pharmaceuticals
EGX:BONY,Borg El Arab Co.,Industrials,Industrial Services
EGX:BTFH,Beltone Holding,Financials,Investment Banking
EGX:CAED,Cairo Educational Services,Consumer Services,Education
EGX:CCAP,Citadel Capital,Financials,Investment
EGX:CCRS,Construction & Reconstruction,Industrials,Construction
EGX:CEFM,Commercial Engineering,Industrials,Engineering
EGX:CERA,Ceramica Remas,Industrials,Building Materials
EGX:CICH,CI Capital Holding,Financials,Financial Services
EGX:CIRA,Cairo for Investment (Education),Consumer Services,Education
EGX:CLHO,Cleopatra Hospital,Healthcare,Healthcare Services
EGX:CNFN,Contact Financial Holding,Financials,Consumer Finance
EGX:COPR,Copper for Commercial Investment,Industrials,Metals
EGX:COSG,Costain Egypt,Industrials,Construction
EGX:CPCI,Cairo Pharmaceuticals,Healthcare,Pharmaceuticals
EGX:CRST,Crest Investments,Financials,Investment
EGX:CSAG,Canal Shipping Agencies,Industrials,Logistics
EGX:DAPH,Delta Pharma,Healthcare,Pharmaceuticals
EGX:DEIN,Delta Insurance,Financials,Insurance
EGX:DOMT,Domty,Consumer Non-Cyclicals,Food Products
EGX:DSCW,Delta Sugar,Consumer Non-Cyclicals,Sugar
EGX:DTPP,Delta Printing & Packaging,Industrials,Packaging
EGX:EALR,El Arabia Leasing,Financials,Leasing
EGX:EASB,Egyptian Arabian Bank,Financials,Banking
EGX:EAST,Eastern Company,Consumer Non-Cyclicals,Tobacco
EGX:EBSC,Egyptian Building Materials,Industrials,Building Materials
EGX:ECAP,Egyptian Co. for Construction,Industrials,Construction
EGX:EDFM,Edita Food Industries,Consumer Non-Cyclicals,Food Products
EGX:EEII,Egyptian Export Investment,Financials,Investment
EGX:EFIC,Engineering for Industries,Industrials,Engineering
EGX:EFID,EFID Industrial Development,Industrials,Industrial Services
EGX:EFIH,E-Finance Investment Group,Financials,Fintech
EGX:EGAL,Egypt Aluminum,Basic Materials,Aluminum
EGX:EGAS,Egypt Gas,Utilities,Gas Distribution
EGX:EGCH,Egypt Chemical Industries,Basic Materials,Chemicals
EGX:EGREF,Egyptian Refining Co.,Energy,Oil & Gas Refining
EGX:EGTS,Egyptian Tourism Resorts,Real Estate,Real Estate Development
EGX:EHDR,Egyptian Housing Development,Real Estate,Real Estate Development
EGX:ELEC,Electro Cable Egypt,Industrials,Electrical Equipment
EGX:ELKA,El Kahera Housing,Real Estate,Real Estate Development
EGX:ELSH,El Shams Housing,Real Estate,Real Estate Development
EGX:EMFD,Emaar Misr,Real Estate,Real Estate Development
EGX:ENGC,Engineering Industries,Industrials,Engineering
EGX:EPCO,Egyptian Petrochemicals,Energy,Petrochemicals
EGX:ETEL,Telecom Egypt,Communication Services,Telecom Services
EGX:ETRS,Egyptian Transport,Industrials,Transportation
EGX:FERC,Ferchem Egypt,Basic Materials,Chemicals
EGX:GBCO,GB Corp,Consumer Cyclicals,Auto Manufacturers
EGX:GDWA,Gadwa for Industrial Development,Financials,Investment
EGX:GGCC,Golden Coast Co.,Real Estate,Real Estate Development
EGX:GIHD,Global Investment Holding,Financials,Investment
EGX:GPIM,Giza Power Industries,Industrials,Electrical Equipment
EGX:GRCA,Grand Investment Capital,Financials,Investment
EGX:GSSC,General Silos & Storage,Consumer Non-Cyclicals,Agricultural Storage
EGX:GTWL,Golden Textiles,Industrials,Textiles
EGX:HBCO,Heliopolis Co. for Housing,Real Estate,Real Estate Development
EGX:HELI,Heliopolis Housing,Real Estate,Real Estate Development
EGX:IBCT,International Business Corp.,Industrials,Industrial Services
EGX:ICFC,International Co. for Fertilizers,Basic Materials,Fertilizers
EGX:ICID,Industrial & Commercial Investment,Financials,Investment
EGX:ICLE,International Co. for Leasing,Financials,Leasing
EGX:IDRE,Industrial Development & Real Estate,Real Estate,Real Estate Development
EGX:IEEC,Industrial Engineering Egypt,Industrials,Engineering
EGX:IFAP,International Food & Agricultural Products,Consumer Non-Cyclicals,Food Products
EGX:INEG,Integrated Engineering Group,Industrials,Engineering
EGX:INFI,International Financial Investments,Financials,Investment
EGX:ISMA,Ismailia Development & Real Estate,Real Estate,Real Estate Development
EGX:ISMQ,Ismailia Misr Poultry,Consumer Non-Cyclicals,Poultry
EGX:ISPH,Ibnsina Pharma,Healthcare,Pharmaceutical Distribution
EGX:JUFO,Juhayna Food Industries,Consumer Non-Cyclicals,Dairy Products
EGX:KABO,El Nasr Clothes & Textiles (Kabo),Industrials,Textiles
EGX:KRDI,Kafr El Zayat Pesticides,Basic Materials,Agrochemicals
EGX:KZPC,Kafr El Zayat Pesticides,Basic Materials,Agrochemicals
EGX:LCSW,Lesico Egypt,Industrials,Building Materials
EGX:LUTS,Lotus for Tourism,Consumer Services,Tourism
EGX:MAAL,Marseilia Egyptian Gulf,Real Estate,Real Estate Development
EGX:MASR,Madinet Masr Housing,Real Estate,Real Estate Development
EGX:MBSC,Misr Beni Suef Cement,Basic Materials,Cement
EGX:MCQE,Misr Chemical Industries,Basic Materials,Chemicals
EGX:MCRO,Macro Group Pharma,Healthcare,Pharmaceuticals
EGX:MEGM,Middle East Glass,Industrials,Glass Manufacturing
EGX:MENA,MENA Touristic & Real Estate,Real Estate,Real Estate Development
EGX:MEPA,Medical Packaging Co.,Healthcare,Medical Supplies
EGX:MFPC,Misr Fertilizers Production,Basic Materials,Fertilizers
EGX:MFSC,Misr Financial Services,Financials,Financial Services
EGX:MHOT,Misr Hotels,Consumer Services,Hotels
EGX:MICH,Misr Chemical Industries,Basic Materials,Chemicals
EGX:MILS,Mills Co.,Consumer Non-Cyclicals,Milling
EGX:MIPH,Minapharm Pharmaceuticals,Healthcare,Biotechnology
EGX:MOED,Modern Education Schools,Consumer Services,Education
EGX:MOIN,Modern Industrial Investment,Industrials,Industrial Services
EGX:MOSC,Misr Oils & Soap,Consumer Non-Cyclicals,Edible Oils
EGX:MPCI,Memphis Pharmaceuticals,Healthcare,Pharmaceuticals
EGX:MPCO,Misr Poultry,Consumer Non-Cyclicals,Poultry
EGX:MTIE,MM Group for Industry & Trade,Consumer Cyclicals,Retail Distribution
EGX:NARE,National Real Estate Investment,Real Estate,Real Estate Development
EGX:NCCW,National Cement Co.,Basic Materials,Cement
EGX:NHPS,National Housing for Professions,Real Estate,Real Estate Development
EGX:NIPH,Nile Pharmaceuticals,Healthcare,Pharmaceuticals
EGX:OBRO,Obour Land,Consumer Non-Cyclicals,Dairy Products
EGX:OCDI,Orascom Development Egypt,Real Estate,Real Estate Development
EGX:OCPH,October Pharma,Healthcare,Pharmaceuticals
EGX:ODIN,ODIN Investments,Financials,Investment
EGX:OFH,Oriental Weavers Holding,Consumer Cyclicals,Home Furnishings
EGX:OIH,Orascom Investment Holding,Financials,Investment
EGX:OLFI,Olam Egypt Food Industries,Consumer Non-Cyclicals,Food Products
EGX:ORAS,Orascom Construction,Industrials,Engineering & Construction
EGX:ORHD,Orascom Development Holding,Real Estate,Real Estate Development
EGX:ORWE,Oriental Weavers,Consumer Cyclicals,Home Furnishings
EGX:PHAR,EIPICO Pharmaceuticals,Healthcare,Pharmaceuticals
EGX:PHDC,Palm Hills Development,Real Estate,Real Estate Development
EGX:PHTV,Pyramisa Hotels,Consumer Services,Hotels
EGX:POUL,Cairo Poultry,Consumer Non-Cyclicals,Poultry
EGX:PRCL,Pioneers Properties,Real Estate,Real Estate Development
EGX:PRDC,Palm Hills Development (duplicate class),Real Estate,Real Estate Development
EGX:PRMH,Prime Holding,Financials,Investment
EGX:RACC,Raya Contact Center,Communication Services,BPO Services
EGX:RAYA,Raya Holding,Industrials,Diversified Industrials
EGX:RMDA,Rameda Pharmaceuticals,Healthcare,Pharmaceuticals
EGX:ROTO,Rotographica,Industrials,Printing & Packaging
EGX:RREI,Rowad Real Estate,Real Estate,Real Estate Development
EGX:RUBX,Rubex International,Industrials,Rubber & Plastics
EGX:SCEM,Sinai Cement,Basic Materials,Cement
EGX:SCFM,South Cairo Flour Mills,Consumer Non-Cyclicals,Milling
EGX:SCTS,Suez Canal Company for Tech,Industrials,Engineering
EGX:SDTI,Sharm Dreams Investment,Tourism,Hotels & Resorts
EGX:SEIG,Saudi Egyptian Investment Group,Financials,Investment
EGX:SIPC,Sidi Kerir Petrochemicals,Energy,Petrochemicals
EGX:SKPC,Sidi Kerir Petrochemicals,Energy,Petrochemicals
EGX:SMFR,Samad MASR,Energy,Petrochemicals
EGX:SNFC,Shebin El Kom Flour Mills,Consumer Non-Cyclicals,Milling
EGX:SPHT,El Shams Pyramids Hotels,Consumer Services,Hotels
EGX:SPIN,Alexandria Spinning & Weaving,Industrials,Textiles
EGX:SPMD,Speed Medical,Healthcare,Healthcare Services
EGX:SUGR,Delta Sugar,Consumer Non-Cyclicals,Sugar
EGX:SVCE,South Valley Cement,Basic Materials,Cement
EGX:SWDY,Elsewedy Electric,Industrials,Electrical Equipment
EGX:TALM,Taalem Management Services,Consumer Services,Education
EGX:TANM,Tanmiya for Microfinance,Financials,Microfinance
EGX:TAQA,TAQA Arabia,Utilities,Energy Distribution
EGX:TMGH,Talaat Moustafa Group,Real Estate,Real Estate Development
EGX:TRTO,Trans Oceans Tours,Consumer Services,Tourism
EGX:UEFM,Upper Egypt Flour Mills,Consumer Non-Cyclicals,Milling
EGX:UEGC,Upper Egypt General Contracting,Industrials,Construction
EGX:UNIP,Unipack,Industrials,Packaging
EGX:UNIT,United Housing & Development,Real Estate,Real Estate Development
EGX:UTOP,UTOPIA Real Estate,Real Estate,Real Estate Development
EGX:WCDF,West Delta Flour Mills,Consumer Non-Cyclicals,Milling
EGX:WKOL,Wadi Kom Ombo Land Reclamation,Consumer Non-Cyclicals,Agriculture
EGX:ZEOT,Extracted Oils & Derivatives,Consumer Non-Cyclicals,Edible Oils
EGX:ZMID,Zahraa Maadi Investment,Real Estate,Real Estate Development
